ProjectTechnologyId,ProjectId,TechnologyId,UsageType
PJ047-TC01,PJ047,TC01,主要
PJ047-TC10,PJ047,TC10,主要
PJ048-TC06,PJ048,TC06,補助
PJ048-TC12,PJ048,TC12,補助
PJ049-TC09,PJ049,TC09,主要
PJ049-TC01,PJ049,TC01,主要
PJ050-TC03,PJ050,TC03,補助
PJ050-TC04,PJ050,TC04,主要
PJ050-TC05,PJ050,TC05,主要
PJ051-TC03,PJ051,TC03,補助
PJ051-TC08,PJ051,TC08,主要
PJ052-TC02,PJ052,TC02,主要
PJ052-TC05,PJ052,TC05,主要
PJ053-TC01,PJ053,TC01,補助
PJ053-TC10,PJ053,TC10,主要
PJ054-TC11,PJ054,TC11,主要
PJ054-TC05,PJ054,TC05,主要
PJ055-TC01,PJ055,TC01,補助
PJ055-TC05,PJ055,TC05,補助
PJ056-TC02,PJ056,TC02,補助
PJ056-TC05,PJ056,TC05,主要
PJ057-TC07,PJ057,TC07,補助
PJ057-TC06,PJ057,TC06,補助
PJ058-TC03,PJ058,TC03,主要
PJ058-TC11,PJ058,TC11,補助
PJ059-TC01,PJ059,TC01,主要
PJ059-TC03,PJ059,TC03,主要
PJ060-TC03,PJ060,TC03,主要
PJ060-TC01,PJ060,TC01,補助
PJ060-TC09,PJ060,TC09,主要
PJ061-TC01,PJ061,TC01,補助
PJ061-TC05,PJ061,TC05,主要
PJ062-TC03,PJ062,TC03,補助
PJ062-TC04,PJ062,TC04,主要
PJ062-TC01,PJ062,TC01,主要
PJ063-TC01,PJ063,TC01,主要
PJ063-TC12,PJ063,TC12,主要
PJ064-TC02,PJ064,TC02,主要
PJ064-TC01,PJ064,TC01,補助
PJ065-TC03,PJ065,TC03,主要
PJ065-TC04,PJ065,TC04,主要
PJ066-TC01,PJ066,TC01,主要
PJ066-TC08,PJ066,TC08,主要
PJ067-TC06,PJ067,TC06,主要
PJ067-TC03,PJ067,TC03,主要
PJ068-TC03,PJ068,TC03,主要
PJ068-TC04,PJ068,TC04,主要
PJ069-TC01,PJ069,TC01,主要
PJ069-TC05,PJ069,TC05,主要
PJ070-TC05,PJ070,TC05,主要
PJ070-TC01,PJ070,TC01,主要
PJ071-TC05,PJ071,TC05,補助
PJ071-TC11,PJ071,TC11,主要
PJ072-TC05,PJ072,TC05,補助
PJ072-TC01,PJ072,TC01,主要
PJ073-TC09,PJ073,TC09,主要
PJ073-TC01,PJ073,TC01,主要
PJ074-TC09,PJ074,TC09,補助
PJ074-TC05,PJ074,TC05,補助
PJ075-TC11,PJ075,TC11,補助
PJ075-TC05,PJ075,TC05,主要
PJ076-TC11,PJ076,TC11,主要
PJ076-TC08,PJ076,TC08,主要
PJ077-TC07,PJ077,TC07,主要
PJ077-TC11,PJ077,TC11,補助
PJ078-TC07,PJ078,TC07,主要
PJ078-TC08,PJ078,TC08,主要
PJ079-TC03,PJ079,TC03,補助
PJ079-TC04,PJ079,TC04,主要
PJ079-TC01,PJ079,TC01,主要
PJ080-TC01,PJ080,TC01,補助
PJ080-TC05,PJ080,TC05,主要
PJ080-TC09,PJ080,TC09,主要
PJ081-TC02,PJ081,TC02,主要
PJ081-TC05,PJ081,TC05,補助
PJ082-TC03,PJ082,TC03,補助
PJ082-TC04,PJ082,TC04,主要
PJ083-TC06,PJ083,TC06,主要
PJ083-TC07,PJ083,TC07,主要
PJ084-TC05,PJ084,TC05,主要
PJ084-TC01,PJ084,TC01,主要
PJ085-TC02,PJ085,TC02,補助
PJ085-TC03,PJ085,TC03,主要
PJ086-TC01,PJ086,TC01,主要
PJ086-TC10,PJ086,TC10,主要
PJ087-TC06,PJ087,TC06,主要
PJ087-TC12,PJ087,TC12,主要
PJ088-TC09,PJ088,TC09,主要
PJ088-TC01,PJ088,TC01,主要
PJ089-TC03,PJ089,TC03,主要
PJ089-TC04,PJ089,TC04,主要
PJ089-TC05,PJ089,TC05,主要
PJ090-TC03,PJ090,TC03,主要
PJ090-TC08,PJ090,TC08,主要
PJ091-TC02,PJ091,TC02,主要
PJ091-TC05,PJ091,TC05,主要
PJ092-TC01,PJ092,TC01,補助
PJ092-TC10,PJ092,TC10,主要
PJ093-TC11,PJ093,TC11,補助
PJ093-TC05,PJ093,TC05,補助
