DeliverableId,ProjectId,Title,DocumentType,Confidentiality,DocumentUrl,CreatedDate,ReusabilityRating
DL0019,PJ005,湘南マート様 基幹システムのクラウドリフト テスト仕様書,テスト仕様書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ005/テスト仕様書.docx,2025-01-13,低
DL0020,PJ006,中央信託銀行様 Power BIによる経営ダッシュボード整備 プロジェクト完了報告書,プロジェクト完了報告書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ006/プロジェクト完了報告書.docx,2026-03-10,中
DL0021,PJ006,中央信託銀行様 Power BIによる経営ダッシュボード整備 テスト仕様書,テスト仕様書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ006/テスト仕様書.docx,2025-11-26,高
DL0022,PJ006,中央信託銀行様 Power BIによる経営ダッシュボード整備 基本設計書,基本設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ006/基本設計書.docx,2025-07-28,高
DL0023,PJ006,中央信託銀行様 Power BIによる経営ダッシュボード整備 運用手順書,運用手順書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ006/運用手順書.docx,2026-02-03,中
DL0024,PJ006,中央信託銀行様 Power BIによる経営ダッシュボード整備 アーキテクチャ設計書,アーキテクチャ設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ006/アーキテクチャ設計書.docx,2025-07-10,高
DL0025,PJ007,陸奥製鋼様 設備保全予知モデルのPoC 基本設計書,基本設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ007/基本設計書.docx,2025-08-16,高
DL0026,PJ007,陸奥製鋼様 設備保全予知モデルのPoC テスト仕様書,テスト仕様書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ007/テスト仕様書.docx,2025-12-03,中
DL0027,PJ007,陸奥製鋼様 設備保全予知モデルのPoC アーキテクチャ設計書,アーキテクチャ設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ007/アーキテクチャ設計書.docx,2025-08-01,中
DL0028,PJ007,陸奥製鋼様 設備保全予知モデルのPoC 要件定義書,要件定義書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ007/要件定義書.docx,2025-06-15,低
DL0029,PJ008,みらいリテール様 SCM可視化基盤の刷新 基本設計書,基本設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ008/基本設計書.docx,2023-08-26,中
DL0030,PJ008,みらいリテール様 SCM可視化基盤の刷新 要件定義書,要件定義書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ008/要件定義書.docx,2023-07-18,中
DL0031,PJ008,みらいリテール様 SCM可視化基盤の刷新 テスト仕様書,テスト仕様書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ008/テスト仕様書.docx,2023-11-03,低
DL0032,PJ008,みらいリテール様 SCM可視化基盤の刷新 提案書,提案書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ008/提案書.docx,2023-06-10,中
DL0033,PJ009,あかつき証券様 勘定系周辺システムのモダナイゼーション 基本設計書,基本設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ009/基本設計書.docx,2025-09-27,低
DL0034,PJ009,あかつき証券様 勘定系周辺システムのモダナイゼーション アーキテクチャ設計書,アーキテクチャ設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ009/アーキテクチャ設計書.docx,2025-09-10,低
DL0035,PJ009,あかつき証券様 勘定系周辺システムのモダナイゼーション 運用手順書,運用手順書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ009/運用手順書.docx,2026-04-10,中
DL0036,PJ009,あかつき証券様 勘定系周辺システムのモダナイゼーション 提案書,提案書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ009/提案書.docx,2025-05-10,中
DL0037,PJ009,あかつき証券様 勘定系周辺システムのモダナイゼーション 要件定義書,要件定義書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ009/要件定義書.docx,2025-07-19,中
DL0038,PJ010,常磐化成様 データガバナンス整備とPurview導入 運用手順書,運用手順書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ010/運用手順書.docx,2025-05-16,低
DL0039,PJ010,常磐化成様 データガバナンス整備とPurview導入 基本設計書,基本設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ010/基本設計書.docx,2025-01-24,低
DL0040,PJ010,常磐化成様 データガバナンス整備とPurview導入 提案書,提案書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ010/提案書.docx,2024-11-04,中
DL0041,PJ010,常磐化成様 データガバナンス整備とPurview導入 プロジェクト完了報告書,プロジェクト完了報告書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ010/プロジェクト完了報告書.docx,2025-06-06,中
DL0042,PJ010,常磐化成様 データガバナンス整備とPurview導入 アーキテクチャ設計書,アーキテクチャ設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ010/アーキテクチャ設計書.docx,2025-01-14,高
DL0043,PJ011,あかつき証券様 生成AIによる査定業務支援システム 基本設計書,基本設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ011/基本設計書.docx,2024-05-20,高
DL0044,PJ011,あかつき証券様 生成AIによる査定業務支援システム アーキテクチャ設計書,アーキテクチャ設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ011/アーキテクチャ設計書.docx,2024-05-10,高
DL0045,PJ011,あかつき証券様 生成AIによる査定業務支援システム テスト仕様書,テスト仕様書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ011/テスト仕様書.docx,2024-07-30,高
DL0046,PJ011,あかつき証券様 生成AIによる査定業務支援システム 運用手順書,運用手順書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ011/運用手順書.docx,2024-09-08,中
DL0047,PJ011,あかつき証券様 生成AIによる査定業務支援システム 提案書,提案書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ011/提案書.docx,2024-03-01,高
DL0048,PJ012,浜名川県庁様 住民向けチャットボット構築 テスト仕様書,テスト仕様書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ012/テスト仕様書.docx,2025-04-03,低
DL0049,PJ012,浜名川県庁様 住民向けチャットボット構築 要件定義書,要件定義書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ012/要件定義書.docx,2024-11-25,中
DL0050,PJ012,浜名川県庁様 住民向けチャットボット構築 基本設計書,基本設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ012/基本設計書.docx,2025-01-11,低
DL0051,PJ013,帝都物流様 配車計画最適化ソリューション導入 テスト仕様書,テスト仕様書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ013/テスト仕様書.docx,2024-12-19,中
DL0052,PJ013,帝都物流様 配車計画最適化ソリューション導入 要件定義書,要件定義書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ013/要件定義書.docx,2024-07-09,高
DL0053,PJ013,帝都物流様 配車計画最適化ソリューション導入 提案書,提案書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ013/提案書.docx,2024-05-12,高
DL0054,PJ013,帝都物流様 配車計画最適化ソリューション導入 運用手順書,運用手順書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ013/運用手順書.docx,2025-02-17,低
DL0055,PJ013,帝都物流様 配車計画最適化ソリューション導入 基本設計書,基本設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ013/基本設計書.docx,2024-09-06,中
DL0056,PJ014,さくら製薬様 研究データ統合分析基盤の構築 基本設計書,基本設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ014/基本設計書.docx,2023-12-07,高
DL0057,PJ014,さくら製薬様 研究データ統合分析基盤の構築 テスト仕様書,テスト仕様書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ014/テスト仕様書.docx,2024-03-19,高
DL0058,PJ014,さくら製薬様 研究データ統合分析基盤の構築 提案書,提案書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ014/提案書.docx,2023-08-12,高
DL0059,PJ014,さくら製薬様 研究データ統合分析基盤の構築 運用手順書,運用手順書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ014/運用手順書.docx,2024-05-17,中
DL0060,PJ014,さくら製薬様 研究データ統合分析基盤の構築 アーキテクチャ設計書,アーキテクチャ設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ014/アーキテクチャ設計書.docx,2023-11-22,低
DL0061,PJ015,山陽ストアーズ様 店舗オペレーション標準化支援 要件定義書,要件定義書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ015/要件定義書.docx,2025-04-07,低
DL0062,PJ015,山陽ストアーズ様 店舗オペレーション標準化支援 テスト仕様書,テスト仕様書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ015/テスト仕様書.docx,2025-10-03,中
DL0063,PJ016,大和精密工業様 品質データ分析基盤のPoC 要件定義書,要件定義書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ016/要件定義書.docx,2025-05-05,低
DL0064,PJ016,大和精密工業様 品質データ分析基盤のPoC 基本設計書,基本設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ016/基本設計書.docx,2025-06-24,高
DL0065,PJ016,大和精密工業様 品質データ分析基盤のPoC テスト仕様書,テスト仕様書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ016/テスト仕様書.docx,2025-09-20,中
DL0066,PJ017,東西電力様 エネルギー設備投資シミュレーション基盤 アーキテクチャ設計書,アーキテクチャ設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ017/アーキテクチャ設計書.docx,2024-06-17,低
DL0067,PJ017,東西電力様 エネルギー設備投資シミュレーション基盤 提案書,提案書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ017/提案書.docx,2024-02-08,中
DL0068,PJ018,駿河フーズ様 生産管理システム再構築 テスト仕様書,テスト仕様書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ018/テスト仕様書.docx,2024-06-25,高
DL0069,PJ018,駿河フーズ様 生産管理システム再構築 基本設計書,基本設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ018/基本設計書.docx,2024-04-20,高
DL0070,PJ018,駿河フーズ様 生産管理システム再構築 アーキテクチャ設計書,アーキテクチャ設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ018/アーキテクチャ設計書.docx,2024-04-10,中
DL0071,PJ019,北斗重工業様 Copilot活用による営業提案高度化 プロジェクト完了報告書,プロジェクト完了報告書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ019/プロジェクト完了報告書.docx,2025-12-10,高
DL0072,PJ019,北斗重工業様 Copilot活用による営業提案高度化 提案書,提案書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ019/提案書.docx,2025-04-12,中
DL0073,PJ020,みらいリテール様 サプライチェーンリスク分析基盤 提案書,提案書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ020/提案書.docx,2025-03-15,中
DL0074,PJ020,みらいリテール様 サプライチェーンリスク分析基盤 基本設計書,基本設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ020/基本設計書.docx,2025-05-18,高
DL0075,PJ020,みらいリテール様 サプライチェーンリスク分析基盤 アーキテクチャ設計書,アーキテクチャ設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ020/アーキテクチャ設計書.docx,2025-05-10,低
DL0076,PJ020,みらいリテール様 サプライチェーンリスク分析基盤 運用手順書,運用手順書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ020/運用手順書.docx,2025-08-14,中
DL0077,PJ020,みらいリテール様 サプライチェーンリスク分析基盤 テスト仕様書,テスト仕様書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ020/テスト仕様書.docx,2025-07-13,低
DL0078,PJ021,北斗重工業様 生成AIプラットフォーム全社展開支援 要件定義書,要件定義書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ021/要件定義書.docx,2024-12-10,高
DL0079,PJ021,北斗重工業様 生成AIプラットフォーム全社展開支援 テスト仕様書,テスト仕様書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ021/テスト仕様書.docx,2025-07-05,中
DL0080,PJ021,北斗重工業様 生成AIプラットフォーム全社展開支援 プロジェクト完了報告書,プロジェクト完了報告書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ021/プロジェクト完了報告書.docx,2025-10-26,中
DL0081,PJ021,北斗重工業様 生成AIプラットフォーム全社展開支援 アーキテクチャ設計書,アーキテクチャ設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ021/アーキテクチャ設計書.docx,2025-02-04,中
DL0082,PJ022,湘南マート様 販売分析データマート再構築 提案書,提案書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ022/提案書.docx,2024-07-03,高
DL0083,PJ022,湘南マート様 販売分析データマート再構築 テスト仕様書,テスト仕様書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ022/テスト仕様書.docx,2024-11-01,中
DL0084,PJ022,湘南マート様 販売分析データマート再構築 基本設計書,基本設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ022/基本設計書.docx,2024-09-05,高
DL0085,PJ022,湘南マート様 販売分析データマート再構築 運用手順書,運用手順書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ022/運用手順書.docx,2024-12-03,中
DL0086,PJ022,湘南マート様 販売分析データマート再構築 プロジェクト完了報告書,プロジェクト完了報告書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ022/プロジェクト完了報告書.docx,2024-12-20,中
DL0087,PJ023,陸奥製鋼様 生成AIによる設計レビュー支援 プロジェクト完了報告書,プロジェクト完了報告書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ023/プロジェクト完了報告書.docx,2025-07-19,高
DL0088,PJ023,陸奥製鋼様 生成AIによる設計レビュー支援 要件定義書,要件定義書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ023/要件定義書.docx,2025-01-12,低
DL0089,PJ023,陸奥製鋼様 生成AIによる設計レビュー支援 提案書,提案書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ023/提案書.docx,2024-11-29,中
DL0090,PJ023,陸奥製鋼様 生成AIによる設計レビュー支援 基本設計書,基本設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ023/基本設計書.docx,2025-02-25,中
DL0091,PJ024,駿河フーズ様 Fabricレイクハウス移行支援 アーキテクチャ設計書,アーキテクチャ設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ024/アーキテクチャ設計書.docx,2023-12-31,中
DL0092,PJ024,駿河フーズ様 Fabricレイクハウス移行支援 提案書,提案書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ024/提案書.docx,2023-08-30,高
DL0093,PJ024,駿河フーズ様 Fabricレイクハウス移行支援 基本設計書,基本設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ024/基本設計書.docx,2024-01-18,高
DL0094,PJ024,駿河フーズ様 Fabricレイクハウス移行支援 プロジェクト完了報告書,プロジェクト完了報告書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ024/プロジェクト完了報告書.docx,2024-09-05,低
DL0095,PJ025,山陽ストアーズ様 需要予測基盤の本番展開 基本設計書,基本設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ025/基本設計書.docx,2024-08-25,中
DL0096,PJ025,山陽ストアーズ様 需要予測基盤の本番展開 アーキテクチャ設計書,アーキテクチャ設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ025/アーキテクチャ設計書.docx,2024-08-06,高
DL0097,PJ025,山陽ストアーズ様 需要予測基盤の本番展開 提案書,提案書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ025/提案書.docx,2024-03-22,高
DL0098,PJ025,山陽ストアーズ様 需要予測基盤の本番展開 プロジェクト完了報告書,プロジェクト完了報告書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ025/プロジェクト完了報告書.docx,2025-05-09,低
DL0099,PJ026,駿河フーズ様 生成AIによる保全ナレッジ検索 運用手順書,運用手順書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ026/運用手順書.docx,2024-05-05,低
DL0100,PJ026,駿河フーズ様 生成AIによる保全ナレッジ検索 要件定義書,要件定義書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ026/要件定義書.docx,2023-10-31,低
DL0101,PJ026,駿河フーズ様 生成AIによる保全ナレッジ検索 テスト仕様書,テスト仕様書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ026/テスト仕様書.docx,2024-03-16,高
DL0102,PJ026,駿河フーズ様 生成AIによる保全ナレッジ検索 提案書,提案書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ026/提案書.docx,2023-09-12,高
DL0103,PJ026,駿河フーズ様 生成AIによる保全ナレッジ検索 基本設計書,基本設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ026/基本設計書.docx,2023-12-20,中
DL0104,PJ027,みどり市役所様 顧客データ統合基盤の構築 アーキテクチャ設計書,アーキテクチャ設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ027/アーキテクチャ設計書.docx,2024-07-17,低
DL0105,PJ027,みどり市役所様 顧客データ統合基盤の構築 プロジェクト完了報告書,プロジェクト完了報告書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ027/プロジェクト完了報告書.docx,2024-11-11,高
DL0106,PJ027,みどり市役所様 顧客データ統合基盤の構築 基本設計書,基本設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ027/基本設計書.docx,2024-07-26,中
DL0107,PJ027,みどり市役所様 顧客データ統合基盤の構築 テスト仕様書,テスト仕様書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ027/テスト仕様書.docx,2024-09-22,高
DL0108,PJ027,みどり市役所様 顧客データ統合基盤の構築 提案書,提案書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ027/提案書.docx,2024-05-21,中
DL0109,PJ028,翼エアカーゴ様 AIOps導入による運用高度化 基本設計書,基本設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ028/基本設計書.docx,2024-11-27,低
DL0110,PJ028,翼エアカーゴ様 AIOps導入による運用高度化 提案書,提案書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ028/提案書.docx,2024-09-06,中
DL0111,PJ028,翼エアカーゴ様 AIOps導入による運用高度化 要件定義書,要件定義書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ028/要件定義書.docx,2024-10-17,低
DL0112,PJ028,翼エアカーゴ様 AIOps導入による運用高度化 アーキテクチャ設計書,アーキテクチャ設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ028/アーキテクチャ設計書.docx,2024-11-17,低
DL0113,PJ029,浜名川県庁様 生成AIによる文書点検自動化 テスト仕様書,テスト仕様書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ029/テスト仕様書.docx,2024-02-28,低
DL0114,PJ029,浜名川県庁様 生成AIによる文書点検自動化 提案書,提案書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ029/提案書.docx,2023-07-07,低
DL0115,PJ029,浜名川県庁様 生成AIによる文書点検自動化 要件定義書,要件定義書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ029/要件定義書.docx,2023-09-07,高
DL0116,PJ029,浜名川県庁様 生成AIによる文書点検自動化 アーキテクチャ設計書,アーキテクチャ設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ029/アーキテクチャ設計書.docx,2023-10-25,中
DL0117,PJ030,つばさ損害保険様 経営管理データ基盤の刷新 テスト仕様書,テスト仕様書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ030/テスト仕様書.docx,2024-03-15,中
DL0118,PJ030,つばさ損害保険様 経営管理データ基盤の刷新 基本設計書,基本設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ030/基本設計書.docx,2023-12-28,高
DL0119,PJ030,つばさ損害保険様 経営管理データ基盤の刷新 運用手順書,運用手順書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ030/運用手順書.docx,2024-04-29,低
DL0120,PJ031,瀬戸内商事様 販売実績ダッシュボードの統合 基本設計書,基本設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ031/基本設計書.docx,2025-07-06,中
DL0121,PJ031,瀬戸内商事様 販売実績ダッシュボードの統合 アーキテクチャ設計書,アーキテクチャ設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ031/アーキテクチャ設計書.docx,2025-06-28,高
DL0122,PJ031,瀬戸内商事様 販売実績ダッシュボードの統合 プロジェクト完了報告書,プロジェクト完了報告書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ031/プロジェクト完了報告書.docx,2025-10-30,低
DL0123,PJ031,瀬戸内商事様 販売実績ダッシュボードの統合 テスト仕様書,テスト仕様書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ031/テスト仕様書.docx,2025-09-06,低
DL0124,PJ031,瀬戸内商事様 販売実績ダッシュボードの統合 要件定義書,要件定義書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ031/要件定義書.docx,2025-06-01,中
DL0125,PJ032,大和精密工業様 原価管理レポートの標準化 プロジェクト完了報告書,プロジェクト完了報告書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ032/プロジェクト完了報告書.docx,2025-08-22,中
DL0126,PJ032,大和精密工業様 原価管理レポートの標準化 提案書,提案書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ032/提案書.docx,2025-03-03,高
DL0127,PJ032,大和精密工業様 原価管理レポートの標準化 アーキテクチャ設計書,アーキテクチャ設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ032/アーキテクチャ設計書.docx,2025-04-29,中
DL0128,PJ033,あかつき証券様 経営KPIの可視化基盤構築 運用手順書,運用手順書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ033/運用手順書.docx,2025-04-17,中
DL0129,PJ033,あかつき証券様 経営KPIの可視化基盤構築 基本設計書,基本設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ033/基本設計書.docx,2024-11-14,中
DL0130,PJ033,あかつき証券様 経営KPIの可視化基盤構築 プロジェクト完了報告書,プロジェクト完了報告書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ033/プロジェクト完了報告書.docx,2025-05-15,高
DL0131,PJ033,あかつき証券様 経営KPIの可視化基盤構築 テスト仕様書,テスト仕様書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ033/テスト仕様書.docx,2025-02-20,高
DL0132,PJ033,あかつき証券様 経営KPIの可視化基盤構築 要件定義書,要件定義書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ033/要件定義書.docx,2024-09-19,中
DL0133,PJ034,浜名川県庁様 データ利活用ポリシーの策定支援 テスト仕様書,テスト仕様書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ034/テスト仕様書.docx,2024-08-14,中
DL0134,PJ034,浜名川県庁様 データ利活用ポリシーの策定支援 アーキテクチャ設計書,アーキテクチャ設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ034/アーキテクチャ設計書.docx,2024-05-09,低
